"idx" "cluster" "customer"
1 1 1
2 27 14
3 27 2
4 69 44
5 27 6
6 27 19
7 1 1
8 27 19
9 27 6
10 27 5
11 61 15
12 1 1
13 27 27
14 27 13
15 61 65
16 27 19
17 27 38
18 27 5
19 27 24
20 69 44
21 27 13
22 27 10
23 69 4
24 27 14
25 27 2
26 61 33
27 27 24
28 27 22
29 29 29
30 69 68
31 69 39
32 61 61
33 61 61
34 27 9
35 69 46
36 27 16
37 1 1
38 27 27
39 69 66
40 69 44
41 69 42
42 69 50
43 69 69
44 69 43
45 69 66
46 69 53
47 1 12
48 27 34
49 61 51
50 69 46
51 61 26
52 27 72
53 69 44
54 69 53
55 27 48
56 69 69
57 69 45
58 61 74
59 61 65
60 61 15
61 61 33
62 27 64
63 61 60
64 27 34
65 61 26
66 69 20
67 61 15
68 69 54
69 69 46
70 78 78
71 69 46
72 27 55
73 61 59
74 61 73
75 61 73
76 61 58
77 69 56
78 78 78
79 61 26
80 27 52
